code_proces;route_num;internal_code;project_name;code_dispacht;code_sales_erp;item;description_material;piece_type;code_piece;num_piece;length_1;width_1;notes_a;length_2;width_2;notes_b;total_piece;label_piece;quantity;grain;img_img1;img_2;img_3;img_4;url_file_1;url_file_2;url_file_3
1976-42;42;1976; 41 CENTRAL; 2TO DESPACHO;A42;VBSFP30_GED_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Tapa Superior;P_731X160;4;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;4;PIEZA: # 4 Q: 4;1;Si;;;;;;;
1976-43;43;1976; 41 CENTRAL; 2TO DESPACHO;A43;VBSFP30C_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Tapa Superior;P_731X160;4;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;19;PIEZA: # 4 Q: 19;1;Si;;;;;;;
1976-44;44;1976; 41 CENTRAL; 2TO DESPACHO;A44;VBSFP30C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Tapa Superior;P_731X160;4;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;18;PIEZA: # 4 Q: 18;1;Si;;;;;;;
1976-45;45;1976; 41 CENTRAL; 2TO DESPACHO;A45;BSFP33_GED_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Tapa Superior;P_807X160;4;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;29;PIEZA: # 4 Q: 29;1;Si;;;;;;;
1976-46;46;1976; 41 CENTRAL; 2TO DESPACHO;A46;VBSFP33_GED_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Tapa Superior;P_807X160;4;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;7;PIEZA: # 4 Q: 7;1;Si;;;;;;;
1976-47;47;1976; 41 CENTRAL; 2TO DESPACHO;A47;VBSFP33C_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Tapa Superior;P_807X160;4;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;12;PIEZA: # 4 Q: 12;1;Si;;;;;;;
1976-48;48;1976; 41 CENTRAL; 2TO DESPACHO;A48;VBSFP33C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Tapa Superior;P_807X160;4;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;10;PIEZA: # 4 Q: 10;1;Si;;;;;;;
1976-49;49;1976; 41 CENTRAL; 2TO DESPACHO;A49;BSFP36_GED_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Tapa Superior;P_883X160;4;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;59;PIEZA: # 4 Q: 59;1;Si;;;;;;;
1976-50;50;1976; 41 CENTRAL; 2TO DESPACHO;A50;VBSFP36_GED_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Tapa Superior;P_883X160;4;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;30;PIEZA: # 4 Q: 30;1;Si;;;;;;;
1976-51;51;1976; 41 CENTRAL; 2TO DESPACHO;A51;VBSFP36C_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Tapa Superior;P_883X160;4;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;16;PIEZA: # 4 Q: 16;1;Si;;;;;;;
1976-52;52;1976; 41 CENTRAL; 2TO DESPACHO;A52;VBSFP36C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Tapa Superior;P_883X160;4;2;2;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;0;0;N/A;21;PIEZA: # 4 Q: 21;1;Si;;;;;;;
1976-53;53;1976; 41 CENTRAL; 2TO DESPACHO;A53;W3324_E510_GED_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Tapa Inferior;P_807X304;3;1;0;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;1;0;Canto PVC 19mm Cal 0.5 Arlington Frosty Textura Arena Profundo;18;PIEZA: # 3 Q: 18;1;Si;;;;;;;
1976-54;54;1976; 41 CENTRAL; 2TO DESPACHO;A54;W3624_E510_GED_406B_267_H15;Ecofort 2C 1.83 x 2.44 15mm CARB II Arlington  textura Liso /Incienso Textura Lisa;Tapa Inferior;P_883X304;3;1;0;Canto PVC 19mm Cal 0.5 Incienso Textura Madera;1;0;Canto PVC 19mm Cal 0.5 Arlington Frosty Textura Arena Profundo;59;PIEZA: # 3 Q: 59;1;Si;;;;;;;
1976-55;55;1976; 41 CENTRAL; 2TO DESPACHO;A55;W0942C_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Izquierda;P_1065X226;8;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;6;PIEZA: # 8 Q: 6;1;Si;;;;;;;
1976-56;56;1976; 41 CENTRAL; 2TO DESPACHO;A56;W0942C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Izquierda;P_1065X226;8;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;9;PIEZA: # 8 Q: 9;1;Si;;;;;;;
1976-57;57;1976; 41 CENTRAL; 2TO DESPACHO;A57;W2742C_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Derecha;P_1065X340;9;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;13;PIEZA: # 9 Q: 13;1;Si;;;;;;;
1976-58;58;1976; 41 CENTRAL; 2TO DESPACHO;A58;W2742C_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Izquierda;P_1065X340;8;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;13;PIEZA: # 8 Q: 13;1;Si;;;;;;;
1976-59;59;1976; 41 CENTRAL; 2TO DESPACHO;A59;W2742C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Derecha;P_1065X340;9;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;12;PIEZA: # 9 Q: 12;1;Si;;;;;;;
1976-60;60;1976; 41 CENTRAL; 2TO DESPACHO;A60;W2742C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Izquierda;P_1065X340;8;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;12;PIEZA: # 8 Q: 12;1;Si;;;;;;;
1976-61;61;1976; 41 CENTRAL; 2TO DESPACHO;A61;W1542_GED_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Izquierda;P_1065X378;8;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;32;PIEZA: # 8 Q: 32;1;Si;;;;;;;
1976-62;62;1976; 41 CENTRAL; 2TO DESPACHO;A62;W1542C_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Izquierda;P_1065X378;8;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;24;PIEZA: # 8 Q: 24;1;Si;;;;;;;
1976-63;63;1976; 41 CENTRAL; 2TO DESPACHO;A63;W1542C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Izquierda;P_1065X378;8;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;31;PIEZA: # 8 Q: 31;1;Si;;;;;;;
1976-64;64;1976; 41 CENTRAL; 2TO DESPACHO;A64;W3042_GED_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Derecha;P_1065X378;9;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;29;PIEZA: # 9 Q: 29;1;Si;;;;;;;
1976-65;65;1976; 41 CENTRAL; 2TO DESPACHO;A65;W3042_GED_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Izquierda;P_1065X378;8;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;29;PIEZA: # 8 Q: 29;1;Si;;;;;;;
1976-66;66;1976; 41 CENTRAL; 2TO DESPACHO;A66;W3342_GED_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Derecha;P_1065X416;9;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;6;PIEZA: # 9 Q: 6;1;Si;;;;;;;
1976-67;67;1976; 41 CENTRAL; 2TO DESPACHO;A67;W3342_GED_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Izquierda;P_1065X416;8;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;6;PIEZA: # 8 Q: 6;1;Si;;;;;;;
