code_proces;route_num;internal_code;project_name;code_dispacht;code_sales_erp;item;description_material;piece_type;code_piece;num_piece;length_1;width_1;notes_a;length_2;width_2;notes_b;total_piece;label_piece;quantity;grain;img_img1;img_2;img_3;img_4;url_file_1;url_file_2;url_file_3
1976-84;84;1976; 41 CENTRAL; 2TO DESPACHO;A84;W4242_GED_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Izquierda;P_1065X530;9;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;18;PIEZA: # 9 Q: 18;1;Si;;;;;;;
1976-85;85;1976; 41 CENTRAL; 2TO DESPACHO;A85;W2442_GED_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Izquierda;P_1065X607;8;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;15;PIEZA: # 8 Q: 15;1;Si;;;;;;;
1976-86;86;1976; 41 CENTRAL; 2TO DESPACHO;A86;W2442C_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Izquierda;P_1065X607;8;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;34;PIEZA: # 8 Q: 34;1;Si;;;;;;;
1976-87;87;1976; 41 CENTRAL; 2TO DESPACHO;A87;W2442C_GED_IL_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Izquierda;P_1065X607;8;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;4;PIEZA: # 8 Q: 4;1;Si;;;;;;;
1976-88;88;1976; 41 CENTRAL; 2TO DESPACHO;A88;W2442C_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Izquierda;P_1065X607;8;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;39;PIEZA: # 8 Q: 39;1;Si;;;;;;;
1976-89;89;1976; 41 CENTRAL; 2TO DESPACHO;A89;T1891_5LC_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Izquierda;P_1254X454;9;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;12;PIEZA: # 9 Q: 12;1;Si;;;;;;;
1976-90;90;1976; 41 CENTRAL; 2TO DESPACHO;A90;T1891_5LC_GED_IL_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Izquierda;P_1254X454;9;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;36;PIEZA: # 9 Q: 36;1;Si;;;;;;;
1976-91;91;1976; 41 CENTRAL; 2TO DESPACHO;A91;T1891_5LC_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Izquierda;P_1254X454;9;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;18;PIEZA: # 9 Q: 18;1;Si;;;;;;;
1976-92;92;1976; 41 CENTRAL; 2TO DESPACHO;A92;T2191_5LC_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Izquierda;P_1254X530;9;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;10;PIEZA: # 9 Q: 10;1;Si;;;;;;;
1976-93;93;1976; 41 CENTRAL; 2TO DESPACHO;A93;T2191_5LC_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Izquierda;P_1254X530;9;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;12;PIEZA: # 9 Q: 12;1;Si;;;;;;;
1976-94;94;1976; 41 CENTRAL; 2TO DESPACHO;A94;VT1879_5SC_GED_IL_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Izquierda;P_1289X454;10;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;3;PIEZA: # 10 Q: 3;1;Si;;;;;;;
1976-95;95;1976; 41 CENTRAL; 2TO DESPACHO;A95;VT1879_5SC_GED_IR_406B_267_H15;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Puerta Izquierda;P_1289X454;10;2;2;Canto PVC 22mm Cal 1.0 Incienso Textura Madera;0;0;N/A;4;PIEZA: # 10 Q: 4;1;Si;;;;;;;
1976-96;96;1976; 41 CENTRAL; 2TO DESPACHO;A96;B1D12_GED_406B_267_H15D1;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Frente Cajá
1976-999;96;1976; 41 CENTRAL; 2TO DESPACHO;A96;B1D12_GED_406B_267_H15D1;Ecofort 2C 1.83 x 2.44 18mm CARB II Incienso Textura Amazonas;Frente Cajá
